Question,Answer
Taylor Swift 哪年出生？,1989
Taylor Swift 的星座是？,射手座
Taylor Swift 于哪年出道？,2006年
Taylor Swift 的出道地点？,纳什维尔
Taylor Swift 的幸运数字是什么？,13
Taylor Swift 的生日是？,32855
Taylor Swift 的中间名是？,Alison
Taylor Swift 的全名是？,Taylor Alison Swift
Taylor Swift 的妈妈叫什么名字？,Andrea Swift
Taylor Swift 出生于美国哪一个州？,宾夕法尼亚州
Taylor Swift 的灵魂动物是？,海豚
Taylor Swift 最害怕什么动物？,海胆
Taylor Swift 现在有几只猫咪？,三只
Taylor Swift 冰箱里必备的食物是？,鹰嘴豆泥
Taylor Swift 想要的超能力是？,治愈他人
Taylor Swift 有什么兄弟姐妹？,一个弟弟
Taylor Swift 最喜欢在什么季节发歌？,秋季
Taylor Swift 最喜欢的电影是？,真爱至上
Taylor Swift 每年都会看的电影是？,真爱至上
Taylor Swift 最喜欢的美剧/电视节目？,老友记
Taylor Swift 在哪里开演唱会结果把自己的牙磕坏了？,匹兹堡
Taylor Swift 被哪所学校授予名誉博士学位？,New York University
Taylor Swift 在她学生时代会将创作歌曲发布在哪个社交平台？,My Space
Taylor Swift 做完近视眼手术后（在来自妈妈拍摄的视频中）吃的是哪种水果？,香蕉
如果在学校教授一门课程，Taylor 会选？,英语
如果不是歌手，Taylor 想过从事哪方面的事业？,广告行业
Taylor Swift 的宠物猫的名字有哪些？,Olivia Benson、Meredith Grey、Benjamin Button
当 Taylor 有写歌创作灵感的时候，会如何记录？,录制语音备忘录
在《美国小姐》纪录片中 Taylor 因为飞机颠簸而护住牛排时穿的上衣是谁的？,Rihanna
Taylor Swift 的第9个冠军单曲是？,Anti-Hero
Taylor Swift 获得了几次格莱美年度专辑大奖？,4
Taylor Swift 以哪首冠军单替换了Shake It Off？,Blank Space
Taylor Swift 在 Billboard Hot 100 在榜最久的歌是？,Anti-Hero
Taylor Swift 哪两年同时拿了两首美国 billboard hot100 冠单？,2014、2020
Taylor Swift 的第一首 billboard 冠军单是什么？,We Are Never Ever Getting Back Together
billboard 冠军歌曲中最长的是？,All too well (10 minutes version)
在2023年 VMAs 中，Taylor Swift 赢得了多少座奖杯？,9座
2023年的 VMA 中，Taylor 的哪首单曲获得了 Best pop 奖项？,Anti-hero
Taylor Swift 和 Fall Out Boy 有几次合作？,2次
Taylor Swift 第一次与 Jack Antonoff 合作是哪首歌？,Sweeter Than Fiction
Katy Perry 出现在 Taylor Swift 的哪个 MV 里？,You Need To Calm Down
Taylor Swift 写的第一首歌是什么？,Lucky you
Taylor Swift 发行的第一首单曲是？,Tim McGraw
Taylor Swift 写哪首歌的时候，用时最短？,《Blank Space》
Taylor Swift 写哪首歌的时候，用时最长？,《All Too Well》
Taylor Swift 中首歌有她父亲独白是？,Brought Up That Way
Taylor Swift 在学习吉他的时候，会弹的第一首歌是？,《Kiss Me》
Taylor Swift 的首支单曲《Tim McGraw》是关于什么的？,爱情和思念
Taylor Swift 的歌曲《Love Story》中，她将什么比喻为“爱”？,电影中的浪漫情节
Taylor Swift 的歌曲《Out of the Woods》中，她表达了与男友分手后的什么情感？,对关系崩塌的焦虑、恐惧与残留希望交织的复杂情绪
Taylor Swift 的歌曲《All Too Well (From The Vault | Taylor's Version | Ten Minute Version)》的时长是多少？,10m13s
Taylor Swift 写给自己外婆的歌是？,marjorie
在歌曲《Blank Space》的 MV 中，Taylor Swift 共换了几套服装？,20
哪首歌是 Taylor Swift 从《Mad Men》中获取灵感的？,Lavender Haze
Taylor Swift 的第三张专辑是？,Speak Now
Taylor Swift 的首张专辑是哪一年发布的？,2006
Taylor Swift 同名专的首单发行在？,2006-06-19 00:00:00
Taylor Swift 的第一张重录专辑是？,Fearless (TV)
Taylor 的第三只猫是在录制哪支 MV 中收养的？,ME!
Taylor Swift 至今发行了多少张专辑（不包含重录）？,10
Taylor Swift 哪一张专辑被称为宇宙神专-流行圣经？,1989
黄霄雲没有哪首歌？,evermore
Cruel Summer 是哪年的歌曲？,2019
在 cruel summer 的歌词中一共出现了多少次 cruel summer？,6
Taylor Swift 哪张专辑有多首冠军单？（截至 Midnights Era）,1989
Taylor Swift 专辑《reputation》的发行时间为？,2017-11-10 00:00:00
“folklore”专辑彩胶一共有几版颜色？,10
I Think He knows 是哪个专辑的歌曲？,lover
1989 首单《Shake It Off》的发行时间是？,2014-08-19 00:00:00
未收录进 The Ears Tour 正式巡演曲目的是？,So it goes...
哪一张专辑是 Taylor Swift 从乡村音乐转向流行音乐的标志？,《1989》
哪首歌是 Taylor Swift 的《reputation》演唱会大电影中的开场曲？,...Ready For It?
reputation 专辑发行前一个月的秘密试听会上，Taylor Swift 演唱了专辑中的哪一首歌？,New Year's Days
请接下句 I'm not asleep____.,My mind is alive.
歌词“The best people in life are free”出自下列哪一首歌？,New Romantics
"“And overnight, you felt like you are a 60's queen.” 出自 Taylor Swift 的哪首歌？",The Lucky One
"“And it's alright now, But we were something” 这句歌词出自 Taylor Swift 的哪首歌？",the 1
"“And I said, Romeo take me somewhere we can be alone” 这句歌词出自 Taylor Swift 的哪首歌？",Love Story
"“And it's new the shape of your body, It's blue the feeling I got” 这句歌词出自 Taylor Swift 的哪首歌？",Cruel Summer
"“And I don't know how it gets better than this, You take my hand and drag me head first fearless” 这句歌词出自 Taylor Swift 的哪首歌？",Fearless
"“But I can see us, Lost in the memory” 这句歌词出自 Taylor Swift 的哪首歌？",august
"“But I knew you, Dancing in your Levi's” 这句歌词出自 Taylor Swift 的哪首歌？",cardigan
"“But when you think Tim McGraw, I hope you think my favorite song” 这句歌词出自 Taylor Swift 的哪首歌？",Tim McGraw
"“Cause I like you, This ain't for the best” 这句歌词出自 Taylor Swift 的哪首歌？",Delicate
"“Can I go where you go, Can we always be this close” 这句歌词出自 Taylor Swift 的哪首歌？",Lover
"“And it’s alright now, But we were something” 出自哪首歌？",the 1
“And I don’t know how it gets better than this…” 出自哪首歌？,Fearless
“The best people in life are free” 出自哪首歌？,New Romantics
“Cause there we are again on that little town street” 这句歌词出自 Taylor Swift 的哪首歌？,All Too Well
"“Cause I can see you, Waiting down the hall from me” 这句歌词出自 Taylor Swift 的哪首歌？",I Can See You
"“Cause she wears short skirts, I wear T-shirts” 这句歌词出自 Taylor Swift 的哪首歌？",You Belong With Me
"“Cause baby I could build a castle, Out of all the bricks they threw at me” 这句歌词出自 Taylor Swift 的哪首歌？",New Romantics
"“Cause karma is my boyfriend karma is a god, Karma is the breeze in my hair on the weekend” 这句歌词出自 Taylor Swift 的哪首歌？",Karma
"“Cause when you're fifteen and somebody tells you they love you, You're gonna believe them” 这句歌词出自 Taylor Swift 的哪首歌？",Fifteen
"“Cause you could be the one that love, I could be the one that you dream of” 这句歌词出自 Taylor Swift 的哪首歌？",Message In A Bottle (From The Vault)
"“Don't blame me your love made me crazy, If it doesn't you ain't doin' it right” 这句歌词出自 Taylor Swift 的哪首歌？",Don't Blame Me
"“Drop everything now meet me in the pouring rain, Kiss me on the sidewalk take away the pain” 这句歌词出自 Taylor Swift 的哪首歌？",Sparks Fly
"“Got love–struck went straight to my head, Got lovesick all over my bed” 这句歌词出自 Taylor Swift 的哪首歌？","""Slut!"""
"“Hey it's all me in my head, I'm the one who burned us down” 这句歌词出自 Taylor Swift 的哪首歌？",Afterglow
"“Hello Mr. perfectly fine, How's your heart after breaking mine” 这句歌词出自 Taylor Swift 的哪首歌？",Mr. Perfectly Fine
"“It's a new soundtrack, can dance to this beat beat” 这句歌词出自 Taylor Swift 的哪首歌？",Welcome To New York
"“It's me hi I'm the problem it's me, At tea time everybody agrees” 这句歌词出自 Taylor Swift 的哪首歌？",Anti-Hero
"“I hate that stupid old pickup truck, You never let me drive” 这句歌词出自 Taylor Swift 的哪首歌？",Picture To Burn
"“I'm not a princess this ain't a fairy tale, I'm not the one you'll sweep off her feet” 这句歌词出自 Taylor Swift 的哪首歌？",White Horse
"“I don't wanna look at anything else now that I saw you, I don't wanna think of anything else now that thought of you” 这句歌词出自 Taylor Swift 的哪首歌？",Daylight
"“Losing him was blue like I'd never known, Missing him was dark grey all alone” 这句歌词出自 Taylor Swift 的哪首歌？",Red
"“Long live the walls we crashed through, How the kingdom lights shined just for me and you” 这句歌词出自 Taylor Swift 的哪首歌？",Long Live
"“My town was a wasteland, Full of fancies and the pretenders” 这句歌词出自 Taylor Swift 的哪首歌？",Midnight Rain
"“So it's gonna be forever, Or it's gonna go down in flames” 这句歌词出自 Taylor Swift 的哪首歌？",Blank Space
"“Say you'll remember me, Standing in a nice dress staring at the sunset babe” 这句歌词出自 Taylor Swift 的哪首歌？",Wildest Dreams
"“So this is me swallowing my pride, Standing in front of you saying I'm sorry for that night” 这句歌词出自 Taylor Swift 的哪首歌？",Back To December
"Taylor Swift《Gorgeous》歌词填空：“You're so ___, I can't say anything to your face”",gorgeous
"Taylor Swift《willow》歌词填空：“The more that you say the less I know, Wherever you stray I ___”",follow
"“The more that you say the less know, Wherever you stray I follow” 这句歌词出自 Taylor Swift 的哪首歌？",willow
"“This night is sparklin' don't you let it go, I'm wonderstruck blushin' all the way home” 这句歌词出自 Taylor Swift 的哪首歌？",Enchanted
"Taylor Swift《Message In A Bottle (From The Vault)》歌词填空：“Cause you could be the one that I ___, I could be the one that you dream of”",love
"Taylor Swift《Daylight》歌词填空：“I don't wanna look at anything else now that I saw ___, don't wanna think of anything else now that I thought of you”",you
"Taylor Swift《Teardrops On My Guitar》歌词填空：“He's the reason for the ___ on my guitar, The only thing that keeps me wishing on a wishing star”",teardrops
"“You were drivin' the getaway car, We were flyin' but we'd never get far” 这句歌词出自 Taylor Swift 的哪首歌？",Getaway Car
"“Your Midas touch on the Chevy door, November flush and your flannel cure” 这句歌词出自 Taylor Swift 的哪首歌？",champagne problems
"哪张充满魔力的专辑收录了迷人的歌曲 ""Mary's Song""，连仙女教母都会跟着哼唱？",Taylor Swift
Taylor Swift 的哪张专辑因 Snow Patrol 的 Gary Lightbody 加入而增添了摇滚色彩，使其成为霸榜的派对混音之作？,Red
"哪张炽热的专辑包含了叛逆颂歌 ""Picture to Burn""，让每一个前任都三思而后行？",Taylor Swift
猜猜 Taylor Swift 的哪首热门歌曲用“She's cheer captain and I'm on the bleachers”这句歌词完美诠释了高中梦想氛围，深受所有逆袭者的喜爱？,You Belong With Me
"收录了暖心曲调 ""Tied Together with a Smile""、堪称阴霾天完美良方的专辑叫什么名字？",Taylor Swift
还记得那首开启巨星之路的押韵谜题吗？年轻的 Taylor Swift 凭借哪首诗赢得了全国诗歌比赛冠军？,Monster in My Closet
"Taylor Swift 在 ""Hope for Haiti"" 专辑中献声演唱了哪首振奋人心的曲目，证明即使心碎也能点燃希望？",Breathless
凭借巧妙的歌词创作，Taylor Swift 靠哪首朗朗上口的歌曲摘得了2015年 iHeartRadio Music Awards 的“最佳歌词”桂冠？,Blank Space
Taylor Swift 首张专辑中让乡村乐迷一听到节拍就高呼“Yeehaw!”的首支单曲是什么？,Tim McGraw
"Taylor Swift 从日记中借用了哪位儿时闺蜜的名字来创作热单 ""Fifteen""，唤起了我们对黄金校园时光的回忆？",Abigail
哪张专辑于2012年以火热色调重磅发布，首周销量突破百万，证明了 Red 确实是成功的颜色？,Red
"在 Taylor Swift 的哪张璀璨专辑中，宁静的曲目 ""Clean"" 作为收尾曲，宛如狂欢派对后清凉的夜晚？",1989
"哪张唱片充满了流行魔力以及 ""Style"" 和 ""Out of the Woods"" 等破纪录热单，是对现代流行完美的极致致敬？",1989
Taylor Swift 为高中才艺表演写了哪首奇特又真挚的歌曲，为她日后的一夜成名奠定了基础？,Our Song
哪张开创性的专辑让 Taylor Swift 成为首位两度获得格莱美年度专辑奖的女性，同时还带给我们难忘的80年代风情？,1989
"谁在 ""Bad Blood"" MV 中饰演 Lucky，为动作场面增添了一抹独立魅力？",Lena Dunham
"哪位电视剧医生在 ""Bad Blood"" MV 中客串 Luna，带来酷炫的氛围？",Ellen Pompeo
"谁在 ""Bad Blood"" MV 中扮演 Domino，为画面注入了好莱坞 glamour？",Jessica Alba
"谁是分手颂歌 ""I Knew You Were Trouble"" 背后的灵感缪斯，最终被取代了地位？",Harry Styles
Taylor Swift 与 Joe Jonas 的旋风恋情在哪一年登上了小报头条？,2008
Taylor Swift 与好莱坞当红男星 Jake Gyllenhaal 的热烈故事发生在什么时候？,2010
Taylor Swift 在2010年的哪部浪漫喜剧中惊喜客串，迷倒了所有观众？,Valentine's Day
Taylor Swift 在哪首歌中吟唱了双手并用的爱情——一只手握着方向盘，另一只手放在心上？,Our Song
哪首热单宣称高跟鞋和运动鞋各自诉说着独特的爱情故事？,You Belong With Me
"哪首歌包含了“I guess you didn't care, and I guess I liked that”这句自白式歌词，传递出苦乐参半的真相？",I Knew You Were Trouble
在哪个MV中，Taylor Swift 用一个戏剧性的电话结束了恋情，让我们不禁潸然泪下？,White Horse
哪个MV展现了 Taylor Swift 通过电话告别，标志着一段苦乐参半恋情的终结？,White Horse
Swift 在哪部剧集中完成了她的演艺处女作，踏上了犯罪侦破的舞台？,CSI
Taylor Swift 获得过几次金球奖提名，证明了她在银幕和音乐上的双重星光？,Twice
"Taylor Swift 何时以单曲 ""Tim McGraw"" 开启了她的音乐旅程，让乡村乐迷欣喜若狂？",2006
年轻时，Taylor Swift 在才艺表演中大放异彩，获得了为哪位标志性歌手开场的机会，为未来的星途铺平了道路？,Charlie Daniels
Taylor Swift 在2018年开启的激动人心的巡演叫什么名字，将体育场变成了盛大的 Swiftie 派对区？,Taylor Swift's Reputation Stadium Tour
根据 Forbes 的数据，截至2018年8月，Taylor Swift 令人瞠目的净资产是多少，这个数字甚至让黑粉们都大吃一惊？,$320 million
在2008年的 Me and My Gang Tour 中，Taylor Swift 为哪个音乐组合担任开场嘉宾，一路俘获观众芳心？,Rascal Flatts
到2015年初，Taylor Swift 在全球卖出了多少张专辑，巩固了她打破纪录的天后地位？,40 million
"在 ""Bad Blood"" MV 中，谁演绎了凶猛的化身 Slay Z，为MV魔法增添了T台级别的风采？",Gigi Hadid
14岁的 Taylor Swift 曾就读于哪所学校，将高中生活与未来的霸榜热单融为一体？,Hendersonville High School
在那个令人难忘的 MTV 时刻，当 Kanye 打断她的获奖感言时，Taylor Swift 凭借无可置疑的气场拿下了哪个奖项？,Best Female Video
Taylor Swift 是以哪位音乐传奇人物的名字命名的，注定她生来就与和谐旋律结缘？,James Taylor
1989 World Tour 于哪个史诗般的日期拉开帷幕，开启了这场至今仍被粉丝庆祝的流行盛宴？,"May 5th, 2015"
在她早期崭露头角的模特生涯中，Taylor Swift 为 Abercrombie and Fitch 的哪个活动担任模特？,Rising Stars
Taylor Swift 在哪部温馨电影的片场遇到了演员 Taylor Lautner，这段邂逅至今仍被粉丝们津津乐道？,Valentine's Day
哪部电影的原声带中收录了两首由 Taylor 创作的耀眼曲目，为大银幕增添了音乐色彩？,Hannah Montana: The Movie
哪位吉他导师引领 Taylor 走进了音乐殿堂，为她日后的歌词天赋奠定了基础？,Ronnie Cremer
Taylor Swift 在2014年12月庆祝了多少岁生日，证明25岁只是辉煌的开始？,25
在哪首经典热单中，Taylor 唱出了“Marry me Juliet you'll never have to be alone”这句深情歌词，奠定了她作为现代吟游诗人的地位？,Love Story
年仅11岁时，Taylor Swift 为哪支职业运动队演唱国歌惊艳全场，展现了她早期的明星潜质？,Philadelphia 76ers
